year,kpi,doncode,value
2010,KPI_ReachDRER_CPD,DAZ001,4578
2010,KPI_ReachDRER_CPD,DCO001,11506024
2010,KPI_ReachDRER_CPD,DCR001,296806
2010,KPI_ReachDRER_CPD,DEC001,21873
2010,KPI_ReachDRER_CPD,DGB001,84416
2010,KPI_ReachDRER_CPD,DHN001,22000
2010,KPI_ReachDRER_CPD,DIQ001,0
2010,KPI_ReachDRER_CPD,DIS001,2700
2010,KPI_ReachDRER_CPD,DKZ001,26030
2010,KPI_ReachDRER_CPD,DLA001,18679
2010,KPI_ReachDRER_CPD,DNG001,775000
2010,KPI_ReachDRER_CPD,DNZ001,350
2010,KPI_ReachDRER_CPD,DTM001,206
2010,KPI_ReachDRER_CPD,DTR001,4644221
2010,KPI_ReachDRER_CPD,DUA001,2667
2010,KPI_ReachDRER_CPD,DUS001,320927
2010,KPI_ReachLTSPD_CPD,DAM001,2120105
2010,KPI_ReachLTSPD_CPD,DAZ001,150705
2010,KPI_ReachLTSPD_CPD,DCO001,3088548
2010,KPI_ReachLTSPD_CPD,DEC001,192317
2010,KPI_ReachLTSPD_CPD,DIQ001,0
2010,KPI_ReachLTSPD_CPD,DIS001,57168
2010,KPI_ReachLTSPD_CPD,DLV001,110
2010,KPI_ReachLTSPD_CPD,DTM001,637588
2010,KPI_ReachLTSPD_CPD,DTR001,1811216
2010,KPI_ReachLTSPD_CPD,DUA001,165000
2010,KPI_ReachLTSPD_CPD,DUS001,10938801
2010,KPI_DonBlood_Tot,DAE001,400
2010,KPI_DonBlood_Tot,DAM001,0
2010,KPI_DonBlood_Tot,DAZ001,1807
2010,KPI_DonBlood_Tot,DBS001,0
2010,KPI_DonBlood_Tot,DCH001,233313
2010,KPI_DonBlood_Tot,DCO001,27353
2010,KPI_DonBlood_Tot,DEC001,111686
2010,KPI_DonBlood_Tot,DEG001,62420
2010,KPI_DonBlood_Tot,DHN001,8247
2010,KPI_DonBlood_Tot,DIQ001,1050
2010,KPI_DonBlood_Tot,DLA001,13944
2010,KPI_DonBlood_Tot,DLV001,12222
2010,KPI_DonBlood_Tot,DNG001,200
2010,KPI_DonBlood_Tot,DPH001,142304
2010,KPI_DonBlood_Tot,DTR001,1014521
2010,KPI_DonBlood_Tot,DUS001,3648909
2010,KPI_PeopleVol_Tot,DAM001,3200
2010,KPI_PeopleVol_Tot,DAU001,1
2010,KPI_PeopleVol_Tot,DAZ001,19810
2010,KPI_PeopleVol_Tot,DBB001,500
2010,KPI_PeopleVol_Tot,DBF001,1791
2010,KPI_PeopleVol_Tot,DBG001,13260
2010,KPI_PeopleVol_Tot,DBH001,3500
2010,KPI_PeopleVol_Tot,DBI001,209629
2010,KPI_PeopleVol_Tot,DBJ001,44517
2010,KPI_PeopleVol_Tot,DBO001,600
2010,KPI_PeopleVol_Tot,DBR001,8500
2010,KPI_PeopleVol_Tot,DBS001,40
2010,KPI_PeopleVol_Tot,DBY001,9559
2010,KPI_PeopleVol_Tot,DCA001,9670
2010,KPI_PeopleVol_Tot,DCG001,150
2010,KPI_PeopleVol_Tot,DCH001,72370
2010,KPI_PeopleVol_Tot,DCK001,167
2010,KPI_PeopleVol_Tot,DCL001,4587
2010,KPI_PeopleVol_Tot,DCN001,52933
2010,KPI_PeopleVol_Tot,DCO001,42000
2010,KPI_PeopleVol_Tot,DCR001,5167
2010,KPI_PeopleVol_Tot,DDE001,412281
2010,KPI_PeopleVol_Tot,DDK001,20000
2010,KPI_PeopleVol_Tot,DDZ001,16000
2010,KPI_PeopleVol_Tot,DEC001,5000
2010,KPI_PeopleVol_Tot,DEE001,729
2010,KPI_PeopleVol_Tot,DEG001,15000
2010,KPI_PeopleVol_Tot,DES001,119210
2010,KPI_PeopleVol_Tot,DFR001,52000
2010,KPI_PeopleVol_Tot,DGB001,32135
2010,KPI_PeopleVol_Tot,DGE001,774
2010,KPI_PeopleVol_Tot,DGM001,13500
2010,KPI_PeopleVol_Tot,DGN001,11000
2010,KPI_PeopleVol_Tot,DGR001,11120
2010,KPI_PeopleVol_Tot,DGT001,557
2010,KPI_PeopleVol_Tot,DGW001,872
2010,KPI_PeopleVol_Tot,DHN001,1500
2010,KPI_PeopleVol_Tot,DHU001,42564
2010,KPI_PeopleVol_Tot,DIQ001,5800
2010,KPI_PeopleVol_Tot,DIS001,2179
2010,KPI_PeopleVol_Tot,DIT001,144223
2010,KPI_PeopleVol_Tot,DJP001,2030019
2010,KPI_PeopleVol_Tot,DKE001,6200
2010,KPI_PeopleVol_Tot,DKG001,1400
2010,KPI_PeopleVol_Tot,DKR001,964338
2010,KPI_PeopleVol_Tot,DKZ001,64000
2010,KPI_PeopleVol_Tot,DLA001,16564
2010,KPI_PeopleVol_Tot,DLK001,2408
2010,KPI_PeopleVol_Tot,DLV001,1507
2010,KPI_PeopleVol_Tot,DMA001,20000
2010,KPI_PeopleVol_Tot,DMD001,2670
2010,KPI_PeopleVol_Tot,DML001,5012
2010,KPI_PeopleVol_Tot,DMM001,588326
2010,KPI_PeopleVol_Tot,DMR001,271
2010,KPI_PeopleVol_Tot,DMW001,2125
2010,KPI_PeopleVol_Tot,DNA001,740
2010,KPI_PeopleVol_Tot,DNG001,250000
2010,KPI_PeopleVol_Tot,DNO001,40000
2010,KPI_PeopleVol_Tot,DNP001,90000
2010,KPI_PeopleVol_Tot,DNZ001,6500
2010,KPI_PeopleVol_Tot,DPA001,90
2010,KPI_PeopleVol_Tot,DPE001,1861
2010,KPI_PeopleVol_Tot,DPH001,236237
