doncode,year,kpi,value
DAF001,2014,KPI_Climate_CPD,
DAF001,2014,KPI_ClimateHeat_CPD,
DAF001,2014,KPI_ReachCTP_CPD,
DAF001,2014,KPI_ReachDRER_CPD,294650
DAF001,2014,KPI_ReachDRR_CPD,
DAF001,2014,KPI_ReachH_CPD,
DAF001,2014,KPI_ReachHI_CPD,
DAF001,2014,KPI_ReachHPM_CPD,
DAF001,2014,KPI_ReachL_CPD,
DAF001,2014,KPI_ReachLTSPD_CPD,1708000
DAF001,2014,KPI_ReachM_CPD,
DAF001,2014,KPI_ReachRCRCEd_CPD,
DAF001,2014,KPI_ReachS_CPD,
DAF001,2014,KPI_ReachSI_CPD,
DAF001,2014,KPI_ReachWASH_CPD,
DAF001,2014,KPI_TrainFA_Tot,
DAF001,2014,KPI_DonBlood_Tot,450
DAF001,2014,KPI_GB_Tot,
DAF001,2014,KPI_PeopleVol_Tot,23440
DAF001,2014,KPI_PStaff_Tot,1800
DAF001,2014,KPI_noLocalUnits,41
DAF001,2014,KPI_IncomeLC_CHF,22102616
DAF001,2014,KPI_expenditureLC_CHF,21379204
DAL001,2014,KPI_Climate_CPD,
DAL001,2014,KPI_ClimateHeat_CPD,
DAL001,2014,KPI_ReachCTP_CPD,
DAL001,2014,KPI_ReachDRER_CPD,2640
DAL001,2014,KPI_ReachDRR_CPD,
DAL001,2014,KPI_ReachH_CPD,
DAL001,2014,KPI_ReachHI_CPD,
DAL001,2014,KPI_ReachHPM_CPD,
DAL001,2014,KPI_ReachL_CPD,
DAL001,2014,KPI_ReachLTSPD_CPD,312178
DAL001,2014,KPI_ReachM_CPD,
DAL001,2014,KPI_ReachRCRCEd_CPD,
DAL001,2014,KPI_ReachS_CPD,
DAL001,2014,KPI_ReachSI_CPD,
DAL001,2014,KPI_ReachWASH_CPD,
DAL001,2014,KPI_TrainFA_Tot,
DAL001,2014,KPI_DonBlood_Tot,5648
DAL001,2014,KPI_GB_Tot,
DAL001,2014,KPI_PeopleVol_Tot,2900
DAL001,2014,KPI_PStaff_Tot,49
DAL001,2014,KPI_noLocalUnits,39
DAL001,2014,KPI_IncomeLC_CHF,1349450
DAL001,2014,KPI_expenditureLC_CHF,1023835
DDZ001,2014,KPI_Climate_CPD,
DDZ001,2014,KPI_ClimateHeat_CPD,
DDZ001,2014,KPI_ReachCTP_CPD,
DDZ001,2014,KPI_ReachDRER_CPD,
DDZ001,2014,KPI_ReachDRR_CPD,
DDZ001,2014,KPI_ReachH_CPD,
DDZ001,2014,KPI_ReachHI_CPD,
DDZ001,2014,KPI_ReachHPM_CPD,
DDZ001,2014,KPI_ReachL_CPD,
DDZ001,2014,KPI_ReachLTSPD_CPD,
DDZ001,2014,KPI_ReachM_CPD,
DDZ001,2014,KPI_ReachRCRCEd_CPD,
DDZ001,2014,KPI_ReachS_CPD,
DDZ001,2014,KPI_ReachSI_CPD,
DDZ001,2014,KPI_ReachWASH_CPD,
DDZ001,2014,KPI_TrainFA_Tot,
DDZ001,2014,KPI_DonBlood_Tot,
DDZ001,2014,KPI_GB_Tot,
DDZ001,2014,KPI_PeopleVol_Tot,
DDZ001,2014,KPI_PStaff_Tot,
DDZ001,2014,KPI_noLocalUnits,48
DDZ001,2014,KPI_IncomeLC_CHF,0
DDZ001,2014,KPI_expenditureLC_CHF,0
DUS001,2014,KPI_Climate_CPD,
DUS001,2014,KPI_ClimateHeat_CPD,
DUS001,2014,KPI_ReachCTP_CPD,
DUS001,2014,KPI_ReachDRER_CPD,309259
DUS001,2014,KPI_ReachDRR_CPD,
DUS001,2014,KPI_ReachH_CPD,
DUS001,2014,KPI_ReachHI_CPD,
DUS001,2014,KPI_ReachHPM_CPD,
DUS001,2014,KPI_ReachL_CPD,
DUS001,2014,KPI_ReachLTSPD_CPD,3913502
DUS001,2014,KPI_ReachM_CPD,
DUS001,2014,KPI_ReachRCRCEd_CPD,
DUS001,2014,KPI_ReachS_CPD,
DUS001,2014,KPI_ReachSI_CPD,
DUS001,2014,KPI_ReachWASH_CPD,
DUS001,2014,KPI_TrainFA_Tot,
DUS001,2014,KPI_DonBlood_Tot,3110177
DUS001,2014,KPI_GB_Tot,
DUS001,2014,KPI_PeopleVol_Tot,341417
DUS001,2014,KPI_PStaff_Tot,25590
DUS001,2014,KPI_noLocalUnits,264
DUS001,2014,KPI_IncomeLC_CHF,2951565571
DUS001,2014,KPI_expenditureLC_CHF,3023739793
DAD001,2014,KPI_Climate_CPD,
DAD001,2014,KPI_ClimateHeat_CPD,
DAD001,2014,KPI_ReachCTP_CPD,
DAD001,2014,KPI_ReachDRER_CPD,0
DAD001,2014,KPI_ReachDRR_CPD,
DAD001,2014,KPI_ReachH_CPD,
DAD001,2014,KPI_ReachHI_CPD,
DAD001,2014,KPI_ReachHPM_CPD,
DAD001,2014,KPI_ReachL_CPD,
DAD001,2014,KPI_ReachLTSPD_CPD,4300
DAD001,2014,KPI_ReachM_CPD,
DAD001,2014,KPI_ReachRCRCEd_CPD,
DAD001,2014,KPI_ReachS_CPD,
DAD001,2014,KPI_ReachSI_CPD,
DAD001,2014,KPI_ReachWASH_CPD,
DAD001,2014,KPI_TrainFA_Tot,
DAD001,2014,KPI_DonBlood_Tot,1200
DAD001,2014,KPI_GB_Tot,
DAD001,2014,KPI_PeopleVol_Tot,125
DAD001,2014,KPI_PStaff_Tot,16
DAD001,2014,KPI_noLocalUnits,1
DAD001,2014,KPI_IncomeLC_CHF,993363
DAD001,2014,KPI_expenditureLC_CHF,972185
DAO001,2014,KPI_Climate_CPD,
DAO001,2014,KPI_ClimateHeat_CPD,
DAO001,2014,KPI_ReachCTP_CPD,
DAO001,2014,KPI_ReachDRER_CPD,600
DAO001,2014,KPI_ReachDRR_CPD,
DAO001,2014,KPI_ReachH_CPD,
DAO001,2014,KPI_ReachHI_CPD,
DAO001,2014,KPI_ReachHPM_CPD,
DAO001,2014,KPI_ReachL_CPD,
DAO001,2014,KPI_ReachLTSPD_CPD,2000
DAO001,2014,KPI_ReachM_CPD,
DAO001,2014,KPI_ReachRCRCEd_CPD,
DAO001,2014,KPI_ReachS_CPD,
DAO001,2014,KPI_ReachSI_CPD,
DAO001,2014,KPI_ReachWASH_CPD,
DAO001,2014,KPI_TrainFA_Tot,
DAO001,2014,KPI_DonBlood_Tot,176
DAO001,2014,KPI_GB_Tot,
DAO001,2014,KPI_PeopleVol_Tot,5000
DAO001,2014,KPI_PStaff_Tot,92
DAO001,2014,KPI_noLocalUnits,18
DAO001,2014,KPI_IncomeLC_CHF,2623577
DAO001,2014,KPI_expenditureLC_CHF,2083445
DAG001,2014,KPI_Climate_CPD,
DAG001,2014,KPI_ClimateHeat_CPD,
DAG001,2014,KPI_ReachCTP_CPD,
DAG001,2014,KPI_ReachDRER_CPD,0
DAG001,2014,KPI_ReachDRR_CPD,
DAG001,2014,KPI_ReachH_CPD,
DAG001,2014,KPI_ReachHI_CPD,
DAG001,2014,KPI_ReachHPM_CPD,
DAG001,2014,KPI_ReachL_CPD,
DAG001,2014,KPI_ReachLTSPD_CPD,0
DAG001,2014,KPI_ReachM_CPD,
DAG001,2014,KPI_ReachRCRCEd_CPD,
DAG001,2014,KPI_ReachS_CPD,
DAG001,2014,KPI_ReachSI_CPD,
DAG001,2014,KPI_ReachWASH_CPD,
DAG001,2014,KPI_TrainFA_Tot,
DAG001,2014,KPI_DonBlood_Tot,0
DAG001,2014,KPI_GB_Tot,
DAG001,2014,KPI_PeopleVol_Tot,82
DAG001,2014,KPI_PStaff_Tot,2
DAG001,2014,KPI_noLocalUnits,1
DAG001,2014,KPI_IncomeLC_CHF,65531
DAG001,2014,KPI_expenditureLC_CHF,67263
DAR001,2014,KPI_Climate_CPD,
DAR001,2014,KPI_ClimateHeat_CPD,
DAR001,2014,KPI_ReachCTP_CPD,
DAR001,2014,KPI_ReachDRER_CPD,72319
DAR001,2014,KPI_ReachDRR_CPD,
DAR001,2014,KPI_ReachH_CPD,
DAR001,2014,KPI_ReachHI_CPD,
DAR001,2014,KPI_ReachHPM_CPD,
DAR001,2014,KPI_ReachL_CPD,
DAR001,2014,KPI_ReachLTSPD_CPD,5802256
DAR001,2014,KPI_ReachM_CPD,
DAR001,2014,KPI_ReachRCRCEd_CPD,
DAR001,2014,KPI_ReachS_CPD,
DAR001,2014,KPI_ReachSI_CPD,
DAR001,2014,KPI_ReachWASH_CPD,
DAR001,2014,KPI_TrainFA_Tot,
DAR001,2014,KPI_DonBlood_Tot,0
DAR001,2014,KPI_GB_Tot,
DAR001,2014,KPI_PeopleVol_Tot,7688
DAR001,2014,KPI_PStaff_Tot,1815
DAR001,2014,KPI_noLocalUnits,63
DAR001,2014,KPI_IncomeLC_CHF,24097490
DAR001,2014,KPI_expenditureLC_CHF,22515420
DAM001,2014,KPI_Climate_CPD,
DAM001,2014,KPI_ClimateHeat_CPD,
DAM001,2014,KPI_ReachCTP_CPD,
DAM001,2014,KPI_ReachDRER_CPD,7268
DAM001,2014,KPI_ReachDRR_CPD,
DAM001,2014,KPI_ReachH_CPD,
DAM001,2014,KPI_ReachHI_CPD,
DAM001,2014,KPI_ReachHPM_CPD,
DAM001,2014,KPI_ReachL_CPD,
DAM001,2014,KPI_ReachLTSPD_CPD,206000
DAM001,2014,KPI_ReachM_CPD,
DAM001,2014,KPI_ReachRCRCEd_CPD,
DAM001,2014,KPI_ReachS_CPD,
DAM001,2014,KPI_ReachSI_CPD,
DAM001,2014,KPI_ReachWASH_CPD,
DAM001,2014,KPI_TrainFA_Tot,
DAM001,2014,KPI_DonBlood_Tot,0
DAM001,2014,KPI_GB_Tot,
DAM001,2014,KPI_PeopleVol_Tot,3300
DAM001,2014,KPI_PStaff_Tot,75
DAM001,2014,KPI_noLocalUnits,66
DAM001,2014,KPI_IncomeLC_CHF,2949748
DAM001,2014,KPI_expenditureLC_CHF,2975417
DAU001,2014,KPI_Climate_CPD,
DAU001,2014,KPI_ClimateHeat_CPD,
DAU001,2014,KPI_ReachCTP_CPD,
DAU001,2014,KPI_ReachDRER_CPD,45974
DAU001,2014,KPI_ReachDRR_CPD,
DAU001,2014,KPI_ReachH_CPD,
DAU001,2014,KPI_ReachHI_CPD,
DAU001,2014,KPI_ReachHPM_CPD,
DAU001,2014,KPI_ReachL_CPD,
