year,kpi,doncode,value
2020,KPI_ReachCTP_CPD,DIQ001,654
2020,KPI_ReachCTP_CPD,DAD001,0
2020,KPI_ReachCTP_CPD,DAF001,57456
2020,KPI_ReachCTP_CPD,DAT001,3077
2020,KPI_ReachCTP_CPD,DBD001,150559
2020,KPI_ReachCTP_CPD,DBF001,162296
2020,KPI_ReachCTP_CPD,DBG001,1310
2020,KPI_ReachCTP_CPD,DBH001,804
2020,KPI_ReachCTP_CPD,DBR001,325
2020,KPI_ReachCTP_CPD,DBS001,3058
2020,KPI_ReachCTP_CPD,DBY001,7904
2020,KPI_ReachCTP_CPD,DCD001,4266
2020,KPI_ReachCTP_CPD,DCH001,14430
2020,KPI_ReachCTP_CPD,DCI001,3000
2020,KPI_ReachCTP_CPD,DCO001,3277
2020,KPI_ReachCTP_CPD,DRS001,2947
2020,KPI_ReachCTP_CPD,DDE001,274264
2020,KPI_ReachCTP_CPD,DDM001,801
2020,KPI_ReachCTP_CPD,DDO001,2482
2020,KPI_ReachCTP_CPD,DEG001,5264
2020,KPI_ReachCTP_CPD,DFI001,1241
2020,KPI_ReachCTP_CPD,DGB001,9300
2020,KPI_ReachCTP_CPD,DGE001,553
2020,KPI_ReachCTP_CPD,DGM001,2400
2020,KPI_ReachCTP_CPD,DGR001,2816
2020,KPI_ReachCTP_CPD,DHN001,170
2020,KPI_ReachCTP_CPD,DHR001,590
2020,KPI_ReachCTP_CPD,DIS001,1178
2020,KPI_ReachCTP_CPD,DIT001,17070
2020,KPI_ReachCTP_CPD,DKE001,93990
2020,KPI_ReachCTP_CPD,DKH001,1362
2020,KPI_ReachCTP_CPD,DKZ001,4928
2020,KPI_ReachCTP_CPD,DLB001,140230
2020,KPI_ReachCTP_CPD,DLU001,208
2020,KPI_ReachCTP_CPD,DLY001,25086
2020,KPI_ReachCTP_CPD,DMG001,23952
2020,KPI_ReachCTP_CPD,DMK001,3000
2020,KPI_ReachCTP_CPD,DMM001,3866
2020,KPI_ReachCTP_CPD,DMN001,15143
2020,KPI_ReachCTP_CPD,DMY001,3012
2020,KPI_ReachCTP_CPD,DNG001,20893
2020,KPI_ReachCTP_CPD,DNI001,5220
2020,KPI_ReachCTP_CPD,DNP001,29419
2020,KPI_ReachCTP_CPD,DNZ001,12794
2020,KPI_ReachCTP_CPD,DPA001,554
2020,KPI_ReachCTP_CPD,DPH001,14121
2020,KPI_ReachCTP_CPD,DPK001,126595
2020,KPI_ReachCTP_CPD,DPL001,0
2020,KPI_ReachCTP_CPD,DPT001,3000
2020,KPI_ReachCTP_CPD,DPY001,1500
2020,KPI_ReachCTP_CPD,DQA001,277
2020,KPI_ReachCTP_CPD,DSG001,175
2020,KPI_ReachCTP_CPD,DSN001,1046
2020,KPI_ReachCTP_CPD,DSO001,112136
2020,KPI_ReachCTP_CPD,DSV001,34266
2020,KPI_ReachCTP_CPD,DSY001,13080
2020,KPI_ReachCTP_CPD,DTR001,4867197
2020,KPI_ReachCTP_CPD,DTT001,12069
2020,KPI_ReachCTP_CPD,DUA001,3151
2020,KPI_ReachCTP_CPD,DUS001,263151
2020,KPI_ReachCTP_CPD,DUY001,127
2020,KPI_ReachCTP_CPD,DVN001,262198
