doncode,year,kpi,value
DAF001,2021,KPI_Climate_CPD,
DAF001,2021,KPI_ClimateHeat_CPD,
DAF001,2021,KPI_ReachCTP_CPD,49971
DAF001,2021,KPI_ReachDRER_CPD,347833
DAF001,2021,KPI_ReachDRR_CPD,
DAF001,2021,KPI_ReachH_CPD,2145871
DAF001,2021,KPI_ReachHI_CPD,455730
DAF001,2021,KPI_ReachHPM_CPD,4646
DAF001,2021,KPI_ReachL_CPD,219872
DAF001,2021,KPI_ReachLTSPD_CPD,2145871
DAF001,2021,KPI_ReachM_CPD,
DAF001,2021,KPI_ReachRCRCEd_CPD,105
DAF001,2021,KPI_ReachS_CPD,
DAF001,2021,KPI_ReachSI_CPD,
DAF001,2021,KPI_ReachWASH_CPD,
DAF001,2021,KPI_TrainFA_Tot,3182
DAF001,2021,KPI_DonBlood_Tot,
DAF001,2021,KPI_PeopleVol_Tot,29732
DAF001,2021,KPI_PStaff_Tot,2309
DAF001,2021,KPI_noLocalUnits,122
DAF001,2021,KPI_IncomeLC_CHF,11140953
DAF001,2021,KPI_expenditureLC_CHF,11566527
DAL001,2021,KPI_Climate_CPD,
DAL001,2021,KPI_ClimateHeat_CPD,
DAL001,2021,KPI_ReachCTP_CPD,10000
DAL001,2021,KPI_ReachDRER_CPD,123000
DAL001,2021,KPI_ReachDRR_CPD,129188
DAL001,2021,KPI_ReachH_CPD,140000
DAL001,2021,KPI_ReachHI_CPD,0
DAL001,2021,KPI_ReachHPM_CPD,3520
DAL001,2021,KPI_ReachL_CPD,127000
DAL001,2021,KPI_ReachLTSPD_CPD,25280
DAL001,2021,KPI_ReachM_CPD,180
DAL001,2021,KPI_ReachRCRCEd_CPD,14655
DAL001,2021,KPI_ReachS_CPD,220
DAL001,2021,KPI_ReachSI_CPD,18800
DAL001,2021,KPI_ReachWASH_CPD,40000
DAL001,2021,KPI_TrainFA_Tot,66160
DAL001,2021,KPI_DonBlood_Tot,4725
DAL001,2021,KPI_PeopleVol_Tot,2295
DAL001,2021,KPI_PStaff_Tot,58
DAL001,2021,KPI_noLocalUnits,39
DAL001,2021,KPI_IncomeLC_CHF,2270842
DAL001,2021,KPI_expenditureLC_CHF,1913412
DUS001,2021,KPI_Climate_CPD,
DUS001,2021,KPI_ClimateHeat_CPD,
DUS001,2021,KPI_ReachCTP_CPD,244095
DUS001,2021,KPI_ReachDRER_CPD,
DUS001,2021,KPI_ReachDRR_CPD,281187
DUS001,2021,KPI_ReachH_CPD,6339537
DUS001,2021,KPI_ReachHI_CPD,
DUS001,2021,KPI_ReachHPM_CPD,38110
DUS001,2021,KPI_ReachL_CPD,244095
DUS001,2021,KPI_ReachLTSPD_CPD,7919326
DUS001,2021,KPI_ReachM_CPD,
DUS001,2021,KPI_ReachRCRCEd_CPD,
DUS001,2021,KPI_ReachS_CPD,1512380
DUS001,2021,KPI_ReachSI_CPD,
DUS001,2021,KPI_ReachWASH_CPD,43705
DUS001,2021,KPI_TrainFA_Tot,6190964
DUS001,2021,KPI_DonBlood_Tot,2218346
DUS001,2021,KPI_PeopleVol_Tot,281003
DUS001,2021,KPI_PStaff_Tot,17495
DUS001,2021,KPI_noLocalUnits,234
DUS001,2021,KPI_IncomeLC_CHF,2787293038
DUS001,2021,KPI_expenditureLC_CHF,2521967296
DAM001,2021,KPI_Climate_CPD,
DAM001,2021,KPI_ClimateHeat_CPD,
DAM001,2021,KPI_ReachCTP_CPD,34380
DAM001,2021,KPI_ReachDRER_CPD,2150
DAM001,2021,KPI_ReachDRR_CPD,568510
DAM001,2021,KPI_ReachH_CPD,520881
DAM001,2021,KPI_ReachHI_CPD,
DAM001,2021,KPI_ReachHPM_CPD,24263
DAM001,2021,KPI_ReachL_CPD,30145
DAM001,2021,KPI_ReachLTSPD_CPD,21000
DAM001,2021,KPI_ReachM_CPD,17000
DAM001,2021,KPI_ReachRCRCEd_CPD,30070
DAM001,2021,KPI_ReachS_CPD,
DAM001,2021,KPI_ReachSI_CPD,704136
DAM001,2021,KPI_ReachWASH_CPD,113228
DAM001,2021,KPI_TrainFA_Tot,3000
DAM001,2021,KPI_DonBlood_Tot,
DAM001,2021,KPI_PeopleVol_Tot,5096
DAM001,2021,KPI_PStaff_Tot,230
DAM001,2021,KPI_noLocalUnits,69
DAM001,2021,KPI_IncomeLC_CHF,10558797
DAM001,2021,KPI_expenditureLC_CHF,10934627
DSZ001,2021,KPI_Climate_CPD,
DSZ001,2021,KPI_ClimateHeat_CPD,
DSZ001,2021,KPI_ReachCTP_CPD,19086
DSZ001,2021,KPI_ReachDRER_CPD,68391
DSZ001,2021,KPI_ReachDRR_CPD,1621
DSZ001,2021,KPI_ReachH_CPD,136580
DSZ001,2021,KPI_ReachHI_CPD,
DSZ001,2021,KPI_ReachHPM_CPD,
DSZ001,2021,KPI_ReachL_CPD,16896
DSZ001,2021,KPI_ReachLTSPD_CPD,0
DSZ001,2021,KPI_ReachM_CPD,4276
DSZ001,2021,KPI_ReachRCRCEd_CPD,
DSZ001,2021,KPI_ReachS_CPD,59
DSZ001,2021,KPI_ReachSI_CPD,
DSZ001,2021,KPI_ReachWASH_CPD,19368
DSZ001,2021,KPI_TrainFA_Tot,813
DSZ001,2021,KPI_DonBlood_Tot,
DSZ001,2021,KPI_PeopleVol_Tot,1139
DSZ001,2021,KPI_PStaff_Tot,61
DSZ001,2021,KPI_noLocalUnits,111
DSZ001,2021,KPI_IncomeLC_CHF,3782515
DSZ001,2021,KPI_expenditureLC_CHF,3437573
DBY001,2021,KPI_Climate_CPD,14500
DBY001,2021,KPI_ClimateHeat_CPD,70000
DBY001,2021,KPI_ReachCTP_CPD,16184
DBY001,2021,KPI_ReachDRER_CPD,70000
DBY001,2021,KPI_ReachDRR_CPD,70000
DBY001,2021,KPI_ReachH_CPD,77826
DBY001,2021,KPI_ReachHI_CPD,79350
DBY001,2021,KPI_ReachHPM_CPD,71771
DBY001,2021,KPI_ReachL_CPD,115000
DBY001,2021,KPI_ReachLTSPD_CPD,292000
DBY001,2021,KPI_ReachM_CPD,2300
DBY001,2021,KPI_ReachRCRCEd_CPD,38752
DBY001,2021,KPI_ReachS_CPD,2350
DBY001,2021,KPI_ReachSI_CPD,43520
DBY001,2021,KPI_ReachWASH_CPD,43225
DBY001,2021,KPI_TrainFA_Tot,23000
DBY001,2021,KPI_DonBlood_Tot,993
DBY001,2021,KPI_PeopleVol_Tot,16156
DBY001,2021,KPI_PStaff_Tot,419
DBY001,2021,KPI_noLocalUnits,158
DBY001,2021,KPI_IncomeLC_CHF,6172315
DBY001,2021,KPI_expenditureLC_CHF,6219258
DBE001,2021,KPI_Climate_CPD,0
DBE001,2021,KPI_ClimateHeat_CPD,0
DBE001,2021,KPI_ReachCTP_CPD,0
DBE001,2021,KPI_ReachDRER_CPD,0
DBE001,2021,KPI_ReachDRR_CPD,0
DBE001,2021,KPI_ReachH_CPD,0
DBE001,2021,KPI_ReachHI_CPD,0
DBE001,2021,KPI_ReachHPM_CPD,0
DBE001,2021,KPI_ReachL_CPD,0
DBE001,2021,KPI_ReachLTSPD_CPD,0
DBE001,2021,KPI_ReachM_CPD,0
DBE001,2021,KPI_ReachRCRCEd_CPD,0
DBE001,2021,KPI_ReachS_CPD,0
DBE001,2021,KPI_ReachSI_CPD,0
DBE001,2021,KPI_ReachWASH_CPD,0
DBE001,2021,KPI_TrainFA_Tot,58297
DBE001,2021,KPI_DonBlood_Tot,296172
DBE001,2021,KPI_PeopleVol_Tot,24289
DBE001,2021,KPI_PStaff_Tot,3296
DBE001,2021,KPI_noLocalUnits,366
DBE001,2021,KPI_IncomeLC_CHF,501131990
DBE001,2021,KPI_expenditureLC_CHF,483613587
DBT001,2021,KPI_Climate_CPD,0
DBT001,2021,KPI_ClimateHeat_CPD,0
DBT001,2021,KPI_ReachCTP_CPD,0
DBT001,2021,KPI_ReachDRER_CPD,52196
DBT001,2021,KPI_ReachDRR_CPD,132
DBT001,2021,KPI_ReachH_CPD,61707
DBT001,2021,KPI_ReachHI_CPD,61707
DBT001,2021,KPI_ReachHPM_CPD,0
DBT001,2021,KPI_ReachL_CPD,0
DBT001,2021,KPI_ReachLTSPD_CPD,0
DBT001,2021,KPI_ReachM_CPD,0
DBT001,2021,KPI_ReachRCRCEd_CPD,0
DBT001,2021,KPI_ReachS_CPD,50
DBT001,2021,KPI_ReachSI_CPD,0
DBT001,2021,KPI_ReachWASH_CPD,0
DBT001,2021,KPI_TrainFA_Tot,117
DBT001,2021,KPI_DonBlood_Tot,
DBT001,2021,KPI_PeopleVol_Tot,5037
DBT001,2021,KPI_PStaff_Tot,12
DBT001,2021,KPI_noLocalUnits,1
DBT001,2021,KPI_IncomeLC_CHF,284316
DBT001,2021,KPI_expenditureLC_CHF,191344
DBR001,2021,KPI_Climate_CPD,661
