KPI_Code,KPI_Description,KPI_Note,KPI_Order,UNIT_Code,KPI_Compound,KPI_Ext,KPI_Visible,CreatedAt,ModifiedAt,KPI_Name,KPI_Ext_Source,KPI_Ext_Name,CreatedBy,ModifiedBy
analyst,"","",210040,text,FALSE,FALSE,FALSE,0001-01-01T00:00:00,0001-01-01T00:00:00,,,,,
ar,Annual report present (1) or absent (0) for the reporting year,Document,100,logical,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Annual report present (1) or absent (0) for the reporting year,Document,,,
audited,Financial statement audited (1) or unaudited (0) for the reporting year,Document,103,logical,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Financial statement audited (1) or unaudited (0) for the reporting year,Document,,,
ChildMortality,"Mortality rate, under-5 (per 1,000 live births)",World Development Indicators databank,305,number,FALSE,TRUE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,"Mortality rate, under-5 (per 1,000 live births)",WorldBank,SH.DYN.MORT,,
cluster,IFRC Secretariat Cluster or Country Office,,10050,text,FALSE,FALSE,FALSE,0001-01-01T00:00:00,0001-01-01T00:00:00,IFRC Secretariat Cluster or Country Office,,,,
corp,Income from Corporations (Local Currency),NS Finance & Partnerships - Income source,20107,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from Corporations (Local Currency),,,,
corp_CHF,Income from Corporations (Swiss Franc),NS Finance & Partnerships - Income source,20106,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from Corporations (Swiss Franc),,,,
cur,"Reporting currency, applicable if not reporting in local currency",,20000,text,FALSE,FALSE,FALSE,0001-01-01T00:00:00,0001-01-01T00:00:00,"Reporting currency, applicable if not reporting in local currency",,,,
DON_Code,National Society ID,Metadata,3,text,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,National Society ID,Metadata,,,
f_gov,Income from Foreign Government (Local Currency),NS Finance & Partnerships - Income source,20103,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from Foreign Government (Local Currency),,,,
f_gov_CHF,Income from Foregin Government (Swiss Franc),NS Finance & Partnerships - Income source,20102,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from Foregin Government (Swiss Franc),,,,
Financial1_Validated,Financial Data - Data validated,,204800,logical,FALSE,FALSE,FALSE,0001-01-01T00:00:00,0001-01-01T00:00:00,Financial Data - Data validated,,,,
Financial2_Validated,Distributed Financial Data - Data validated,,204950,logical,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Distributed Financial Data - Data validated,,,,
found,Income from Foundations (Local Currency),NS Finance & Partnerships - Income source,20109,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from Foundations (Local Currency),,,,
found_CHF,Income from Foundations (Swiss Franc),NS Finance & Partnerships - Income source,20108,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from Foundations (Swiss Franc),,,,
GBGender_Validated,National Society Leaders Gender - Data validated (1) or not (0),,10056,logical,FALSE,FALSE,FALSE,0001-01-01T00:00:00,0001-01-01T00:00:00,National Society Leaders Gender - Data validated (1) or not (0),,,,
GDP,GDP (Current US$),World Development Indicators databank,301,number,FALSE,TRUE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,GDP (Current US$),WorldBank,NY.GDP.MKTP.CD,,
GNIPC,"GNI per capita, Atlas method (current US$)",World Development Indicators databank,303,number,FALSE,TRUE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,"GNI per capita, Atlas method (current US$)",WorldBank,NY.GNP.PCAP.CD,,
h_gov,Income from Home Government (Local Currency),NS Finance & Partnerships - Income source,20101,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from Home Government (Local Currency),,,,
h_gov_CHF,Income from Home Government (Swiss Franc),NS Finance & Partnerships - Income source,20100,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from Home Government (Swiss Franc),,,,
icrc,Income from ICRC (Local Currency),NS Finance & Partnerships - Income source,20125,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from ICRC (Local Currency),,,,
icrc_CHF,Income from ICRC (Swiss Franc),NS Finance & Partnerships - Income source,20124,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from ICRC (Swiss Franc),,,,
ifrc,Income from IFRC (Local Currency),NS Finance & Partnerships - Income source,20123,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from IFRC (Local Currency),,,,
ifrc_CHF,Income from IFRC (Swiss Franc),NS Finance & Partnerships - Income source,20122,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from IFRC (Swiss Franc),,,,
iga,Income from Income-generating activity (Local Currency),NS Finance & Partnerships - Income source,20119,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from Income-generating activity (Local Currency),,,,
iga_CHF,Income from Income Generating Activity (Swiss Franc),NS Finance & Partnerships - Income source,20118,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from Income Generating Activity (Swiss Franc),,,,
income,Total income is broken down by source of income (1) or not (0) and blank if total income is not reported,,20011,logical,FALSE,FALSE,FALSE,0001-01-01T00:00:00,0001-01-01T00:00:00,Total income is broken down by source of income (1) or not (0) and blank if total income is not reported,,,,
ind,Income from Individuals (Local Currency),NS Finance & Partnerships - Income source,20105,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from Individuals (Local Currency),,,,
ind_CHF,Income from Individuals (Swiss Franc),NS Finance & Partnerships - Income source,20104,number,FALSE,FALSE,TRUE,0001-01-01T00:00:00,0001-01-01T00:00:00,Income from Individuals (Swiss Franc),,,,
KPI_accountingSystem,National Society's accounting system type,,260000,text,FALSE,FALSE,FALSE,0001-01-01T00:00:00,0001-01-01T00:00:00,National Society's accounting system type,,,,
KPI_Climate_CPD,Number of people reached - Activities to address rising climate risks - Total,NS Reach - CPD,33071,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.123,0001-01-01T00:00:00,Number of people reached - Activities to address rising climate risks - Total,,,system,
KPI_Climate_CPD_IP,Number of people reached - Rising climate risks  - Total - Imputed,Number of people reached - Rising climate risks  - Total - Imputed,133075,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.227,0001-01-01T00:00:00,Number of people reached - Rising climate risks  - Total - Imputed,Imputed data,,system,
KPI_Climate_D_age,Number of people reached - Activities to address rising climate risks - Disaggregated by age (1) or not (0),,33000,logical,FALSE,FALSE,TRUE,2022-03-10T12:03:38.02,2022-03-10T12:03:38.02,Number of people reached - Activities to address rising climate risks - Disaggregated by age (1) or not (0),,,system,system
KPI_Climate_D_F_age_0_5,People reached with Activities to address rising climate risks - Direct - Female - Age 0 to 5,,33014,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.043,2022-03-10T12:03:38.043,People reached with Activities to address rising climate risks - Direct - Female - Age 0 to 5,,,system,system
KPI_Climate_D_F_age_13_17,People reached with activities to address rising climate risks - Direct - Female - Age 13 to 17,,33016,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.043,2022-03-10T12:03:38.043,People reached with activities to address rising climate risks - Direct - Female - Age 13 to 17,,,system,system
KPI_Climate_D_F_age_18_29,People reached with activities to address rising climate risks - Direct - Female - Age 18 to 29,,33017,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.047,2022-03-10T12:03:38.047,People reached with activities to address rising climate risks - Direct - Female - Age 18 to 29,,,system,system
KPI_Climate_D_F_age_18_49,People reached with activities to address rising climate risks - Direct - Female - Age 18 to 49,,33018,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.047,2022-03-10T12:03:38.047,People reached with activities to address rising climate risks - Direct - Female - Age 18 to 49,,,system,system
KPI_Climate_D_F_age_30_39,People reached with activities to address rising climate risks - Direct - Female - Age 30 to 39,,33019,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.05,2022-03-10T12:03:38.05,People reached with activities to address rising climate risks - Direct - Female - Age 30 to 39,,,system,system
KPI_Climate_D_F_age_40_49,People reached with activities to address rising climate risks - Direct - Female - Age 40 to 49,,33020,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.05,2022-03-10T12:03:38.05,People reached with activities to address rising climate risks - Direct - Female - Age 40 to 49,,,system,system
KPI_Climate_D_F_age_50_59,People reached with activities to address rising climate risks - Direct - Female - Age 50 to 59,,33021,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.05,2022-03-10T12:03:38.05,People reached with activities to address rising climate risks - Direct - Female - Age 50 to 59,,,system,system
KPI_Climate_D_F_age_6_12,People reached with activities to address rising climate risks - Direct - Female - Age 6 to 12,,33015,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.04,2022-03-10T12:03:38.04,People reached with activities to address rising climate risks - Direct - Female - Age 6 to 12,,,system,system
KPI_Climate_D_F_age_60_69,People reached with activities to address rising climate risks - Direct - Female - Age 60 to 69,,33022,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.053,2022-03-10T12:03:38.053,People reached with activities to address rising climate risks - Direct - Female - Age 60 to 69,,,system,system
KPI_Climate_D_F_age_70_79,People reached with activities to address rising climate risks - Direct - Female - Age 70 to 79,,33023,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.057,2022-03-10T12:03:38.057,People reached with activities to address rising climate risks - Direct - Female - Age 70 to 79,,,system,system
KPI_Climate_D_F_age_80,People reached with activities to address rising climate risks - Direct - Female - Age 80+,,33024,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.06,2022-03-10T12:03:38.06,People reached with activities to address rising climate risks - Direct - Female - Age 80+,,,system,system
KPI_Climate_D_F_age_Other,People reached with activities to address rising climate risks - Direct - Female - Age Unknown / Not provided,,33025,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.063,2022-03-10T12:03:38.063,People reached with activities to address rising climate risks - Direct - Female - Age Unknown / Not provided,,,system,system
KPI_Climate_D_IP,Number of people reached - Rising climate risks - Direct - Imputed,Number of people reached - Rising climate risks - Direct - Imputed,133074,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.223,2022-03-10T12:03:38.223,Number of people reached - Rising climate risks - Direct - Imputed,Imputed data,,system,system
KPI_Climate_D_IsDataNotAvailable,Climate Is Data Not available checked,,33074,logical,FALSE,FALSE,TRUE,2022-10-17T11:57:26.18,2022-10-17T11:57:26.18,Climate Is Data Not available checked,,,initial load,initial load
KPI_Climate_D_isDataNotCollected,Number of people reached - Activities to address rising climate risks - Data collected (1) or no data collected (0) - Applicable if no data provided,,33069,logical,FALSE,FALSE,TRUE,2022-03-10T12:03:38.123,2022-03-10T12:03:38.123,Number of people reached - Activities to address rising climate risks - Data collected (1) or no data collected (0) - Applicable if no data provided,,,system,system
