year,kpi,doncode,value
2012,KPI_ReachDRER_CPD,DAD001,0
2012,KPI_ReachDRER_CPD,DAF001,2361453
2012,KPI_ReachDRER_CPD,DAG001,0
2012,KPI_ReachDRER_CPD,DAL001,8600
2012,KPI_ReachDRER_CPD,DAM001,0
2012,KPI_ReachDRER_CPD,DAO001,17103
2012,KPI_ReachDRER_CPD,DAR001,20371
2012,KPI_ReachDRER_CPD,DAU001,46877
2012,KPI_ReachDRER_CPD,DAZ001,4008
2012,KPI_ReachDRER_CPD,DBA001,480
2012,KPI_ReachDRER_CPD,DBB001,5940
2012,KPI_ReachDRER_CPD,DBD001,350000
2012,KPI_ReachDRER_CPD,DBE001,438969
2012,KPI_ReachDRER_CPD,DBF001,75000
2012,KPI_ReachDRER_CPD,DBG001,27800
2012,KPI_ReachDRER_CPD,DBI001,128000
2012,KPI_ReachDRER_CPD,DBJ001,36265
2012,KPI_ReachDRER_CPD,DBO001,11400
2012,KPI_ReachDRER_CPD,DBS001,622
2012,KPI_ReachDRER_CPD,DBW001,18435
2012,KPI_ReachDRER_CPD,DBY001,18253
2012,KPI_ReachDRER_CPD,DBZ001,174427
2012,KPI_ReachDRER_CPD,DCA001,2289
2012,KPI_ReachDRER_CPD,DCD001,78200
2012,KPI_ReachDRER_CPD,DCF001,21535
2012,KPI_ReachDRER_CPD,DCG001,1339215
2012,KPI_ReachDRER_CPD,DCI001,7214
2012,KPI_ReachDRER_CPD,DCK001,0
2012,KPI_ReachDRER_CPD,DCL001,92259
2012,KPI_ReachDRER_CPD,DCM001,16430
2012,KPI_ReachDRER_CPD,DCN001,18900000
2012,KPI_ReachDRER_CPD,DCO001,14466768
2012,KPI_ReachDRER_CPD,DRS001,6240
2012,KPI_ReachDRER_CPD,DCU001,223278
2012,KPI_ReachDRER_CPD,DCZ001,0
2012,KPI_ReachDRER_CPD,DDE001,25000
2012,KPI_ReachDRER_CPD,DDK001,5073709
2012,KPI_ReachDRER_CPD,DDM001,3000
2012,KPI_ReachDRER_CPD,DDO001,30000
2012,KPI_ReachDRER_CPD,DDZ001,3
2012,KPI_ReachDRER_CPD,DEC001,74202
2012,KPI_ReachDRER_CPD,DEE001,0
2012,KPI_ReachDRER_CPD,DEG001,475000
2012,KPI_ReachDRER_CPD,DES001,439087
2012,KPI_ReachDRER_CPD,DET001,179923
2012,KPI_ReachDRER_CPD,DFI001,4691
2012,KPI_ReachDRER_CPD,DFJ001,114247
2012,KPI_ReachDRER_CPD,DFM001,53
2012,KPI_ReachDRER_CPD,DGA001,7095
2012,KPI_ReachDRER_CPD,DGB001,106781
2012,KPI_ReachDRER_CPD,DGE001,5300
2012,KPI_ReachDRER_CPD,DGH001,25000
2012,KPI_ReachDRER_CPD,DGM001,57258
2012,KPI_ReachDRER_CPD,DGN001,377800
2012,KPI_ReachDRER_CPD,DGQ001,646
2012,KPI_ReachDRER_CPD,DGT001,30000
2012,KPI_ReachDRER_CPD,DHN001,640540
2012,KPI_ReachDRER_CPD,DHR001,4564
2012,KPI_ReachDRER_CPD,DHT001,102620
2012,KPI_ReachDRER_CPD,DHU001,64674
2012,KPI_ReachDRER_CPD,DIE001,2150
2012,KPI_ReachDRER_CPD,DIQ001,1016896
2012,KPI_ReachDRER_CPD,DIR001,1522284
2012,KPI_ReachDRER_CPD,DIS001,2695
2012,KPI_ReachDRER_CPD,DJM001,1000
2012,KPI_ReachDRER_CPD,DJO001,20024
2012,KPI_ReachDRER_CPD,DJP001,70621
2012,KPI_ReachDRER_CPD,DKE001,10976931
2012,KPI_ReachDRER_CPD,DKG001,4000
2012,KPI_ReachDRER_CPD,DKH001,76945
2012,KPI_ReachDRER_CPD,DKI001,108
2012,KPI_ReachDRER_CPD,DKM001,30000
2012,KPI_ReachDRER_CPD,DKP001,82699
2012,KPI_ReachDRER_CPD,DKR001,459524
2012,KPI_ReachDRER_CPD,DKZ001,3450
2012,KPI_ReachDRER_CPD,DLA001,47520
2012,KPI_ReachDRER_CPD,DLB001,1884
2012,KPI_ReachDRER_CPD,DLC001,102000
2012,KPI_ReachDRER_CPD,DLK001,275000
2012,KPI_ReachDRER_CPD,DLR001,52748
2012,KPI_ReachDRER_CPD,DLS001,8000
2012,KPI_ReachDRER_CPD,DLT001,0
2012,KPI_ReachDRER_CPD,DLY001,1e+06
2012,KPI_ReachDRER_CPD,DMA001,85000
2012,KPI_ReachDRER_CPD,DMC001,0
2012,KPI_ReachDRER_CPD,DMD001,10155
2012,KPI_ReachDRER_CPD,DME001,41500
2012,KPI_ReachDRER_CPD,DMG001,19200
2012,KPI_ReachDRER_CPD,DMK001,13200
2012,KPI_ReachDRER_CPD,DML001,156814
2012,KPI_ReachDRER_CPD,DMM001,122096
2012,KPI_ReachDRER_CPD,DMN001,1000
2012,KPI_ReachDRER_CPD,DMR001,45600
2012,KPI_ReachDRER_CPD,DMT001,10
2012,KPI_ReachDRER_CPD,DMU001,50
2012,KPI_ReachDRER_CPD,DMV001,4456
2012,KPI_ReachDRER_CPD,DMW001,25746
2012,KPI_ReachDRER_CPD,DMX001,130000
2012,KPI_ReachDRER_CPD,DMZ001,350000
2012,KPI_ReachDRER_CPD,DNA001,1115
